CODIGO;COD.LABO;DESCRIPCION;FEC.VCTO;PRINCIPIO.ACTIVO; PREC.CAJA
6918;SGC;BRONCO AMOXICLIN 250MG/4MG/5ML PSSO X60ML;31/10/2028;AMOXICILINA+BROMHEXINA; S/ 11.00 
30410;SGC;BRONCO AMOXICLIN 500MG X 100 CAP;30/11/2027;AMOXICILINA+BROMHEXINA; S/ 48.00 
31219;AC;BRONCO LEXIN NF 500MG X 40TAB. REC;31/08/2027;CEFALEXINA; S/ 33.80 
33537;ANS;BRONCO MAGNIMOX 250MG+4MG/5ML PPSO X 60ML;30/09/2028;AMOXICILINA+BROMHEXINA; S/ 18.70 
33526;ANS;BRONCO MAGNIMOX 500MG+8MG X 100CAP;30/11/2027;AMOXICILINA+BROMHEXINA; S/ 56.00 
5323;MED;BRONCO MEDIMOX 250MG+4MG/5ML PPSO X 60ML;30/09/2027;AMOXICILINA+BROMHEXINA; S/ 16.00 
2321;MED;BRONCO TRIFAMOX 250MG SUSP 60ML;30/10/2027;AMOXICILINA+BROMHEXINA; S/ 17.30 
2868;MED;BRONCO TRIFAMOX 500MG X100 CAP;30/10/2028;AMOXICILINA+BROMHEXINA; S/ 140.00 
31373;ANS;BRONCO VELAMOX NF 500MG+8MG X 50 CAPSULAS;28/02/2028;AMOXICILINA+BROMHEXINA CLORHID; S/ 19.50 
31374;ANS;BRONCO VELAMOX NF(250MG+4MG)/5ML PPSO X 60ML;30/08/2028;AMOXICILINA+BROMHEXINA CLORHID; S/ 7.50 
31437;LFT;BRONCOBUTOL PLUS NF 2MG/5ML SOL.ORAL X 60ML;30/04/2027;SALBUTAMOL; S/ 8.00 
31187;LFT;BRONCOBUTOL PLUS NF JB DIEPHAR;30/11/2027;SALBUTAMOL; S/ 38.00 
5677;MAR;BRONCODEX COMP JARAB X 120ML;31/03/2028;AMBROXOL+CLENBUTEROL; S/ 12.00 
30472;LBF;BRONCOLAB-E 100MG+5MG/5ML X 120 ML;28/02/2028;GUAIFENESINA+DEXTROMETORFANO; S/ 12.00 
30711;DOL;BRONCOMOXIL PPSO FCO X 60ML;31/08/2028;AMOXICILINA+BROMHEXINA; S/ 9.50 
28621;LFT;BRONCOPHAR PLUS JBE X 120ML;30/07/2028;DEXTROMETO+BROMHEXINA+CLORFENA; S/ 9.00 
31436;LFT;BRONCOPHAR PLUS NF DIEPHAR X 60 MONODOSIS;30/11/2027;FENILEF+DEXTROMET+GUAIFENESINA; S/ 37.50 
33636;LFT;BRONCOPHAR PLUS NF SOL.ORAL X 120ML;30/11/2027;FENILEF+DEXTROMET+GUAIFENESINA; S/ 9.00 
28913;HER;BRONCOPULMIN NF PASTILLA CJA X 25 SOBRES;31/03/2027;DEXTROMETORFANO+BENZOCAINA; S/ 48.50 
27656;PRL;BUK CITOS BOLSA X 5 TIRAS X 10 BOLSITAS;31/10/2028;SACAROSA+GLUCO+AC.ASCOR+MENTOL; S/ 24.00 
27963;PRL;BUK FRESA BOLSA X 20 SOBRES;30/10/2028;SACAROSA+GLUCO+AC.ASCOR+MENTOL; S/ 9.50 
28046;PRL;BUK LIMON BOLSA X 20 SOBRES;31/01/2029;SACAROSA+GLUCO+AC.ASCOR+MENTOL; S/ 9.50 
27964;PRL;BUK MENTA BOLSA X 20 SOBRES;31/10/2028;SACAROSA+GLUCO+AC.ASCOR+MENTOL; S/ 9.50 
28073;PRL;BUK NARANJA BOLSA X 20 SOBRES;31/07/2028;SACAROSA+GLUCO+AC.ASCOR+MENTOL; S/ 9.50 
322;SOF;BUSCAPINA 10MG X 20 GRAGEAS;29/02/2028;HIOSCINA BUTILBROMURO; S/ 25.00 
325;SOF;BUSCAPINA COMP N 10MG+500MG X 100COMP.REC.;30/09/2028;HIOSCINA N-BUTIL+PARACETAMOL; S/ 105.00 
31188;LAP;BUSDOL COMPOSITUM 10MG+500MG X 100TAB.REC.;31/12/2028;N-BUTIL BROMURO DE HIOS+PARACE; S/ 45.00 
27541;GME;C-GURA LEVOG+ETINILESTRAD X21TAB;29/02/2028;LEVONORGESTREL+ETINILESTRADIOL; S/ 2.60 
27958;FIN;CADITAR 400MG 10 CAPSULAS;31/07/2027;CELECOXIB; S/ 72.00 
28501;CFM;CAFAZOLBAC 1GR. CJA X1+LIDOCAINA AMP;31/01/2028;CEFTRIAXONA; S/ 5.50 
29933;INTF;CALCIMUJER X 30 TAB MASTICABLE;31/12/2027;CALCIO CITRATO+VITAMINA D3; S/ 26.00 
30987;PRL;CALCIO PLUS D FORTE X 30 COMP-SABOR NARANJA;29/02/2028;CITRATO DE CALCIO + VITAMINA D; S/ 56.00 
29485;DPS;CALCIO+MAGN+ZINC+VITAM D FCO 60 TAB;31/05/2028;; S/ 31.00 
30242;SOUT;CALMUS FORTE 2% GEL 50GR - DICLOFENACO;30/11/2027;DICLOFENACO; S/ 7.50 
29799;LAP;CALTRACID D CAJA X 30 TAB;31/05/2028;CALCIO CITRATO+VITAMINA D; S/ 7.50 
21;BAY;CANESTEN 1% CREMA X 20GR.;28/02/2028;CLOTRIMAZOL; S/ 14.50 
21711;LAP;CAPTOPRIL 25MG X100 TAB;30/11/2028;CAPTOPRIL; S/ 4.00 
21934;FIN;CAPTOPRIL 25MG X100 TAB;30/12/2028;CAPTOPRIL; S/ 5.90 
31092;LAP;CARBAMAZEPINA 200MG X 100 COMP;29/02/2028;CARBAMAZEPINA; S/ 17.00 
30576;IQF;CARBIDOPA+LEVODOPA 25MG/250MG X 100 TAB;30/09/2028;CARBIDOPA+LEVODOPA; S/ 40.00 
27877;SHE;CARBOCALCIO X 30 CGB;30/07/2028;CALCIO CITRATO+VITAMINA D3; S/ 14.50 
29687;GEN;CARVEDILOL 12.5MG X 30 COMP;30/09/2027;CARVEDILOL; S/ 27.20 
31419;LIP;CEEPRO-C 0.3% SOL.OFTALMICA X 5ML;31/03/2027;CIPROFLOXACINO; S/ 23.00 
30766;MED;CEFABRONCOL-S 500MG X 80 CAP;31/10/2028;CEFALEXINA; S/ 130.00 
25359;AC;CEFACLOR 250MG/5ML PPSO X 75ML;30/09/2028;CEFACLOR; S/ 17.00 
27610;IQF;CEFACLOR 500 MG X 10 CAPSULAS;30/03/2029;CEFACLOR; S/ 14.70 
25599;MED;CEFACROL 1000 PPSOL.INY.IM X 1VIAL+1AMP.SOL.3.5ML;30/04/2028;CEFTRIAXONA; S/ 13.50 
27496;AC;CEFADROXILO 250MG SUSP X100ML;30/06/2028;CEFADROXILO; S/ 11.50 
30622;IQF;CEFADROXILO 250MG/5ML PPSO X 100ML;31/01/2029;CEFADROXILO; S/ 10.00 
30755;HKPH;CEFAGRAM 1GR+LIDOCAINA 1%-CEFTRIAXONA;31/05/2028;CEFTRIAXONA; S/ 4.50 
3252;GEN;CEFALEXINA 250MG/5ML PPSO 60ML;28/02/2028;CEFALEXINA; S/ 7.50 
31435;AC;CEFALEXINA 250MG/5ML PPSO 60ML;30/09/2028;CEFALEXINA; S/ 5.50 
27310;IQF;CEFALEXINA 250MG/5ML SUSP 60ML;31/07/2027;CEFALEXINA; S/ 6.50 
27311;IQF;CEFALEXINA 500MG X 100 CAPSULAS;30/04/2029;CEFALEXINA; S/ 34.00 
28640;AC;CEFALEXINA 500MG X 100 TABLETAS;31/01/2028;CEFALEXINA; S/ 30.00 
23262;FIN;CEFALEXINA 500MG X100 CAPSULAS;31/07/2027;CEFALEXINA; S/ 44.00 
963;EUR;CEFALOGEN 1GR IM 1 AMPOLLA;30/09/2027;CEFTRIAXONA; S/ 13.50 
26067;AC;CEFALOXIME 250/5ML SUSP X 70ML;31/10/2026;CEFUROXIMA; S/ 32.50 
27726;HER;CEFASABAL POLVO VAINILLA 400G;28/02/2028;FORTALECE SALUD DE VIA URINARI; S/ 78.00 
1941;HER;CEFASABAL X 100 TABL;31/01/2028;SAB SERR+ AES HIPP+ SOLID VIRG; S/ 200.00 
20830;MAR;CEFTREX 1G X1 AMPOLLA.;30/06/2027;CEFTRIAXONA; S/ 8.50 
29188;DDA;CEFTRIAXONA 1G.PPSOL.INY.IV-IM X10VIAL;31/12/2027;CEFTRIAXONA; S/ 12.50 
28190;HKPH;CEFTRIAXONA 1GR IM.IV X 10 AMP-CEFAGRAM;31/12/2027;CEFTRIAXONA; S/ 12.50 
31361;OTA;CEFUROXIMA 500 MG X 10 TAB.REC.;30/06/2027;CEFUROXIMA; S/ 18.00 
20781;AC;CEFUROXIMA 500MG X 50 TAB;30/11/2026;CEFUROXIMA; S/ 100.00 
30665;IQF;CEFUROXIMA 500MG X 50 TAB.REC.;30/04/2029;CEFUROXIMA; S/ 89.80 
25005;LAP;CELECOXIB 200MG 100 CAPS;30/12/2028;CELECOXIB; S/ 15.00 
26645;LAP;CELEPOXX 200MG X100 CAPS  CELECOXIB;30/11/2028;CELECOXIB; S/ 30.00 
30077;LIP;CELESTALIP 200MG X 100 CAP -CELECOXIB;30/06/2027;CELECOXIB; S/ 30.00 
31216;GSK;CENTRUM ADULTO X 30COMP;31/01/2027;SUPL.MULTIVITAMINICO/MULTIMINE; S/ 31.00 
31217;GSK;CENTRUM SILVER X 30COMP;30/11/2026;MULTIVI+MULTIMINERAL+LUTEINA; S/ 35.00 
30596;AC;CEPHOPROM 1GR IM X 1 VIAL;30/03/2028;CEFTRIAXONA; S/ 5.50 
30598;DENT;CEPILLO VITIS ULTRA SUAVE X 1;31/08/2030;CEPILLO DENTAL; S/ 15.00 
28325;VAR;CERTIFICADO MEDICO X  1;31/12/2031;CERTIFICADO MEDICO; S/ 18.50 
28593;MED;CETAXEL IM 1000 AMP X 1;31/07/2026;CEFTRIAXONA+LIDOCAINA; S/ 15.00 
30607;MAR;CETIRIMAX D CJA X 100 TAB LIB PROL;30/06/2028;CETIRIZINA+SEUDOEFEDRINA; S/ 138.00 
21380;LAP;CETIRIZINA 10MG X100 TAB;28/02/2029;CETIRIZINA; S/ 5.00 
22876;FIN;CETIRIZINA 10MG X100 TAB;30/09/2027;CETIRIZINA; S/ 6.00 
25975;IQF;CETIRIZINA 10MG X100 TAB;31/12/2028;CETIRIZINA; S/ 5.00 
21720;LAP;CETIRIZINA 5MG/5ML JBE 60ML;30/09/2026;CETIRIZINA; S/ 2.90 
27613;GEL;CHAO ANTIGRIPAL NF CJA X 50 SOBRES;28/02/2027;PARACET+FENILF+CLORFEN; S/ 71.00 
31512;COMP;CHULS GOMITAS OMEGA 3,6,9 X10SACH SAB.NARA.YFRESA;30/04/2028;OMEGA 3+6+9; S/ 24.00 
20752;GEL;CICATRICURE CREMA ANTIAR. X 60 GR;30/11/2028;DERMATOCOSMETICO./ANTIARRUGAS; S/ 57.00 
27594;GEL;CICATRICURE CREMA ANTIARRUGAS X 30 GR;30/09/2028;DERMATOCOSMETICO./ANTIARRUGAS; S/ 38.00 
27020;GEL;CICATRICURE GEL TUBO X 30GR;28/02/2027;CICATRIZANTE REGENERADOR; S/ 30.00 
22951;GEL;CICATRICURE GEL TUBO X 60GR;31/08/2028;CICATRIZANTE REGENERADOR; S/ 46.50 
33662;SOUT;CIPRAFEX 500MG X 100 TAB.REC.;30/12/2028;CIPROFLOXACINO; S/ 19.50 
26108;ROXF;CIPROCALMEX 500MG X100 TAB.RECUBIERTAS;30/06/2028;CIPROFLOXACINO; S/ 81.00 
33542;AC;CIPROFIBRATO 100MG X 50 CAP;30/05/2028;CIPROFIBRATO; S/ 81.00 
30652;GME;CIPROFLOXACINO 500MG  X 100 TAB;30/06/2028;CIPROFLOXACINO; S/ 16.00 
5613;FIN;CIPROFLOXACINO 500MG X100 TAB;31/07/2028;CIPROFLOXACINO; S/ 19.00 
21491;LAP;CIPROFLOXACINO 500MG X100 TAB;30/06/2028;CIPROFLOXACINO; S/ 17.50 
1069;HER;CIPROLIN 500MG X 10 TAB;31/07/2027;CIPROFLOXACINO; S/ 37.00 
5257;MGB;CIRIAX OTIC GOTAS 5ML;31/07/2027;CIPROFLOXACINA+HIDROCORTISONA; S/ 21.00 
27156;SHE;CITROCALCIO CAJA X 30 TABLETAS;31/12/2027;CALCIO CITRATO+VITAMINA D3; S/ 15.00 
28714;LDL;CLARITROMAC 250MG/5ML FCO X 60ML;28/02/2027;CLARITROMICINA; S/ 32.00 
23070;LAP;CLARITROMICINA 250MG SUSP X 50ML;31/10/2028;CLARITROMICINA; S/ 12.00 
23403;FIN;CLARITROMICINA 250MG/5ML GR.PSO X 50ML;31/10/2027;CLARITROMICINA; S/ 16.00 
22347;LAP;CLARITROMICINA 500MG X100 TABL;31/10/2028;CLARITROMICINA; S/ 90.00 
27629;VTP;CLARITROMICINA 500MG X100TABLETAS;30/07/2028;CLARITROMICINA; S/ 80.00 
26823;MAR;CLARITROX 250MG/5ML GRAN. SUSP X 50ML;31/10/2027;CLARITROMICINA; S/ 20.00 
27665;LIP;CLAVULIPH 500MG+125MG X10 TABLETAS;30/06/2027;AMOXICILINA+AC.CLAVULANICO; S/ 12.00 
27125;LAP;CLAVUTRIM CL SUSP X 60ML;30/09/2027;AMOXICILINA+AC.CLAVULANICO; S/ 10.50 
29332;ELI;CLENBUVENT EXP FORTE JBE X 120ML;31/08/2027;AMBROXOL+CLENBUTEROL; S/ 22.50 
6850;ELI;CLENBUVENT EXP JARABE X 120ML.;31/07/2027;AMBROXOL+CLENBUTEROL; S/ 21.20 
28050;FSU;CLENTUSOL EXP FCO 120ML;31/08/2028;AMBROXOL+CLENBUTEROL; S/ 17.00 
27802;LDL;CLENXOL F X 100 TAB.RECUBIERTAS;30/09/2027;AMBROXOL+CLENBUTEROL; S/ 64.00 
30933;BNH;CLERILAX 250MG X 10 TAB REC;31/07/2026;TRANEXAMICO ACIDO; S/ 20.50 
20943;LDL;CLINDA C 300MG X100 CAPSULAS.;30/09/2027;CLINDAMICINA; S/ 84.00 
33603;VTP;CLINDAMICINA 300MG X 100CAP;30/11/2027;CLINDAMICINA; S/ 42.50 
25994;LAP;CLINDAMICINA 300MG X100 CAP;30/10/2028;CLINDAMICINA; S/ 35.00 
30503;IQF;CLINDAMICINA 300MG X100 CAP;30/09/2027;CLINDAMICINA; S/ 38.00 
21130;FIN;CLINDAMICINA 300MG X120 CAP;31/10/2027;CLINDAMICINA; S/ 39.00 
27796;FIN;CLINDAMICINA 600MG/4ML X 25 AMP IM/IV;31/07/2027;CLINDAMICINA; S/ 65.00 
33627;DNY;CLINDAMICINA 600MG/4ML X 25 AMP IM/IV/PER.IV;31/07/2028;CLINDAMICINA; S/ 64.00 
25266;MED;CLINDESS X 7 OVULOS;30/09/2028;CLINDAMICINA; S/ 48.00 
30638;LIP;CLINLIP 300MG X 100 CAP;30/03/2028;CLINDAMICINA; S/ 63.00 
31194;IDU;CLINOMIN NF 50MG/ML+5MG/ML X1AMP.X1ML SOL.INY.;30/03/2027;ENANTATO NORETISTERONA+ESTRADI; S/ 13.00 
21686;FIN;CLOBETASOL 0.05 CREMA X 25G;30/06/2028;CLOBETASOL; S/ 3.30 
26241;AC;CLOBETASOL 0.05 CREMA X 25G;31/07/2028;CLOBETASOL; S/ 3.30 
27122;AC;CLOBETASOL 0.05% UNGUENTO X 25GR.;31/08/2028;CLOBETASOL; S/ 4.30 
29915;LGE;CLOBULER 15MG/5ML JBE X 100ML;30/06/2027;AMBROXOL; S/ 6.00 
29084;LGE;CLOBULER F 30MG/5ML SOL.ORAL X 100ML;30/11/2028;AMBROXOL; S/ 6.30 
30495;IQF;CLONAZEPAM 0.5MG X 100 TAB;30/10/2026;CLONACEPAM; S/ 11.50 
23184;FIN;CLONAZEPAM 0.5MG.X100 TABLETAS.;30/01/2028;CLONACEPAM; S/ 13.50 
30663;IQF;CLONAZEPAM 2MG X 100 TAB REC;31/07/2028;CLONACEPAM; S/ 15.00 
30934;BNH;CLONDICYN 300MG X 50 CAPS-CLINDAMICINA;31/01/2027;CLINDAMICINA; S/ 30.00 
20844;LAP;CLOPIDOGREL 75MG X 30 TAB;30/12/2027;CLOPIDROGEL; S/ 6.00 
21254;LAP;CLORANFENICOL 250MG/5ML SUSP X 60 ML.;31/05/2028;CLORANFENICOL; S/ 6.00 
5410;LAP;CLORANFENICOL 500MG X100 CAPS;30/11/2028;CLORANFENICOL; S/ 41.50 
33617;ANS;CLORELASE PLUS UNGU. X 15GR.;31/08/2027;NEOMICINA+POLIMIXINA+BACITRACI; S/ 12.00 
30185;DDA;CLORFEDAN 10MG/ML SUBC-IM-IV X 10AMP.;30/06/2028;CLORFENAMINA; S/ 5.50 
27514;LLA;CLORFENAMINA 10MG X100 AMP;30/04/2028;CLORFENAMINA; S/ 39.50 
31308;GME;CLORFENAMINA 10MG/ML X 100AMP;28/02/2028;CLORFENAMINA; S/ 37.00 
27928;LAP;CLORFENAMINA 2MG/5ML JBE  60ML;30/08/2027;CLORFENAMINA; S/ 2.00 
5217;LAP;CLORFENAMINA 2MG/5ML JBE 120ML;31/08/2028;CLORFENAMINA; S/ 2.80 
33668;LAP;CLORFENAMINA 4MG X200 TAB;31/03/2029;; S/ 5.50 
5234;LFT;CLORFENAMINA DIEPHAR 60 MONOD;30/11/2027;CLORFENAMINA; S/ 39.00 
4930;LUS;CLORFENAMINA MALETATO 10MG/ML X 25AMP. IM/IV/SC;30/01/2028;CLORFENAMINA MALEATO; S/ 24.00 
1988;SGC;CLORO ALERGAN 10MG/ML X 1 AMP;30/11/2027;CLORFENAMINA MALEATO; S/ 13.50 
31350;JPS;CLOTRIDERM 1% CREMA X 20GR.(CLOTRIMAZOL);30/09/2026;CLOTRIMAZOL; S/ 2.20 
5216;LAP;CLOTRIMAZOL 1 CREMA 20 GR;30/01/2030;CLOTRIMAZOL; S/ 1.80 
29207;AC;CLOTRIMAZOL 1 CREMA 20 GR;31/08/2029;CLOTRIMAZOL; S/ 1.90 
23011;GEN;CLOTRIMAZOL 1 CRM VAG 40GR+APLIC;30/07/2028;CLOTRIMAZOL; S/ 10.50 
26599;LAP;CLOTRIMAZOL 500MG X 10 TABL VAG;28/02/2029;CLOTRIMAZOL; S/ 5.00 
21060;AC;CLOZOL 1% CREMA X 20 GR;30/11/2028;CLOTRIMAZOL; S/ 7.50 
30524;PRL;COLAG-HP PLUS SABOR NEUTRO X 420 GR POTE;31/01/2028;COLA.HIDR+HIALU.SOD+VIT.C+MG; S/ 106.00 
31095;PRL;COLAG-HP PLUS SABOR VAINILLA X 420G;29/02/2028;COLA.HIDR+HIALU.SOD+VIT.C+MG; S/ 106.00 
29095;LGI;COLAGEM PLUS GN FCO X 100CAP;31/12/2027;COLAGENO HIDROLIZADO; S/ 16.50 
2102;LGI;COLAGEM PLUS GN POTE 330GR;31/03/2028;COLAGENO HIDROLIZADO; S/ 46.00 
29464;LGI;COLAGEM PLUS GN POTE X 550 GR;31/03/2028;COLAGENO HIDROLIZADO; S/ 66.80 
31124;HNAT;COLAMEDIC NF POTE X 650GR (N);28/02/2029;COL.HIDR+GCMNA+CONDR+VITCYD3+C; S/ 58.00 
26309;MED;COLIRIO EYEMO 1 FCO X 12ML;31/08/2028;TETRAHIDROZOLINA; S/ 10.00 
28731;MED;COLIRIO EYEMO X 8ML SOL;31/10/2028;TETRAHIDROZOLINA; S/ 8.00 
27388;MGB;COLUFASE 100MG/5ML PPSP X 30ML 10.2G;31/07/2028;NITAZOXANIDA; S/ 21.00 
4457;MGB;COLUFASE 500MG X 6 TAB REC;31/07/2028;NITAZOXANIDA; S/ 23.00 
25145;QUI;COLUQUIM 100MG/5ML SUSP 30ML.;31/01/2028;NITAZOXANIDA; S/ 17.50 
25146;QUI;COLUQUIM 100MG/5ML SUSP 60ML.;28/02/2028;NITAZOXANIDA; S/ 22.50 
27312;SHE;COMPLEJO B FORTE X200 CAPSULAS;31/01/2028;COMPLEJO B; S/ 66.00 
25766;LAP;COMPLEJO B JARABE X 120 ML;31/03/2028;COMPLEJO B; S/ 3.00 
5152;LAP;COMPLEJO B JARABE X 180 ML;30/11/2027;COMPLEJO B; S/ 5.00 
25362;LAP;COMPLEJO B X300 CAPSULAS;30/01/2029;COMPLEJO B; S/ 14.50 
31439;ANS;COMTREX ANT.DIA PPSO X 60 SOBRES X5G;30/09/2027;PARACETAM+GUAIFENESINA+FENILEF; S/ 43.00 
31440;ANS;COMTREX ANT.NOCHE GR.PSO X 60 SOBRES 5GR;31/10/2027;PARAC+ACIDO ASC+CLORF+CAFEI+DE; S/ 46.00 
31157;ANS;COMTREX CJA X 50 SOBRES X 2 TABLETAS;31/05/2027;PARAC+CLORFE.FENILE+DEXTROME; S/ 36.00 
33565;VAR;CONSUMO;31/12/2030;; S/ 250.00 
30063;DDA;CONTRACXIN 10IU/1ML X 10 AMP IM/IV -OXITOCINA;30/09/2028;OXITOCINA; S/ 26.00 
5695;GHS;CONTRAVARIS X 60 CAPSULAS;30/04/2028;RUSCUS ACULEATUS; S/ 38.80 
6756;HAL;COREGA ULTRA SAB MENTA X 20GR;31/07/2028;CALCI+CARBOXIMETICELULOS+CERA; S/ 21.50 
28540;GSK;COREGA ULTRA SAB MENTA X 40GR;30/07/2028;CALCI+CARBOXIMETICELULOS+CERA; S/ 33.00 
27836;HAL;COREGA ULTRA SIN SABOR X 20GR;31/08/2028;CALCI+CARBOXIMETICELULOS+CERA; S/ 21.50 
28541;HAL;COREGA ULTRA SIN SABOR X 40GR;31/07/2028;CALCI+CARBOXIMETICELULOS+CERA; S/ 33.00 
26864;HER;CORIFAN 10MG/ML X 1 AMP;31/01/2027;CLORFENIRAMINA; S/ 13.50 
26865;HER;CORIFAN 2MG/5ML JBE X 120ML;31/12/2028;CLORFENAMINA; S/ 17.00 
28940;HER;CORIFAN GOTAS X 20ML;31/03/2027;CLORFENIRAMINA; S/ 20.00 
33543;AJR;CORTFLAT 30MG X 10TAB. (DEFLAZACORT);31/01/2027;DEFLAZACORT; S/ 21.00 
33544;AJR;CORTFLAT 6MG X 10TAB. (DEFLAZACORT);31/01/2027;DEFLAZACORT; S/ 11.00 
26811;LFT;CORTIDIEPHAR 5MG/5ML DIEPHAR SUSP.ORAL X 60MONODOS;28/02/2029;PREDNISONA; S/ 39.00 
29029;LFT;CORTIDIEPHAR 5MG/5ML SUSP.ORAL X 120ML;30/11/2028;PREDNISONA; S/ 8.00 
28411;AC;CORTIFLEX 0.025 CREMA X 60 GR;31/01/2028;TRIAMCINOLONA; S/ 23.00 
29028;AC;CORTIFLEX 0.025 LOCION X 60ML;31/10/2027;TRIAMCINOLONA; S/ 23.50 
28749;AC;CORTIFLEX 40MG SUSP INY X 1AMP;31/08/2029;TRIAMCINOLONA; S/ 36.00 
26606;AC;CORTIFLEX 50MG/5ML X 1 AMP;30/10/2028;TRIAMCINOLONA; S/ 39.00 
23238;ROXF;CRECIMAX PLUS X 180 ML JARABE;30/08/2028;MAGNESIO+CALCIO+ZINC+COLECALCI; S/ 14.50 
27102;MED;CRESULEN 90MG X  6 OVULOS;31/07/2026;POLICROSULENO 90MG.; S/ 36.50 
31338;GRU;D HIPOGLOS Z EMULSION X 20GR;30/06/2027;CICATRIZANTE REGENERADOR; S/ 18.50 
31171;GRU;D HIPOGLOS Z EMULSION X 35GR;31/10/2026;CICATRIZANTE REGENERADOR; S/ 22.50 
29201;BNH;DAMICOCYN 1.5 MG X 1 TAB;31/10/2028;LEVONORGESTREL; S/ 1.80 
30429;UNM;DAYFLU ACTIVE X 100 CBG;30/08/2027;ACETAMINOFEN+DEXTROMET+FENILEF; S/ 65.00 
6806;ELI;DECORTEN 0.5MG ELIXIR FCO X100ML;31/07/2028;DEXAMETASONA; S/ 19.00 
6807;ELI;DECORTEN NF 2MG/5ML FCO X100 ML;30/06/2027;DEXAMETASONA; S/ 21.80 
29625;IQF;DEFLAZACORT  6MG 10 TABLETAS;31/07/2027;DEFLAZACORT; S/ 7.00 
28639;AC;DEFLAZACORT  6MG 10 TABLETAS;31/03/2028;DEFLAZACORT; S/ 6.00 
25953;GEN;DEFLAZACORT  6MG 10 TABLETAS;31/08/2026;DEFLAZACORT; S/ 8.50 
20850;FIN;DEFLAZACORT  6MG 10 TABLETAS;30/06/2027;DEFLAZACORT; S/ 6.80 
25154;FIN;DEFLAZACORT 30MG 10 TABLETAS;31/10/2027;DEFLAZACORT; S/ 16.00 
27991;IQF;DEFLAZACORT 30MG 10 TABLETAS;30/04/2027;DEFLAZACORT; S/ 14.00 
30352;AC;DEFLAZACORT 30MG X 10 TABLETAS;31/07/2028;DEFLAZACORT; S/ 15.00 
29148;IQF;DEFLAZYM 30MG X 10 TAB;31/05/2028;DEFLAZACORT; S/ 45.50 
28997;IQF;DEFLAZYM 6MG X 10TAB;31/07/2027;DEFLAZACORT; S/ 24.50 
22759;BAG;DEGRALER 5MG X100 COMP;30/11/2026;LEVOCETIRIZINA; S/ 390.00 
20807;BAG;DEGRALER JARABE X 100 ML FRASCO;31/03/2027;LEVOCETIRIZINA; S/ 50.50 
27716;FSU;DELTAPRED 5MG/5ML FCO X 120 ML;31/07/2028;PREDNISONA; S/ 17.00 
5854;FIN;DENCORUB EXTRA FORTE X 100 GR UNGUENTO;31/10/2027;SALICILATO DE METILO.; S/ 33.50 
26407;PFI;DEPO PROVERA 150MG VIAL 1ML;31/03/2027;MEDROXIPROGESTERONA; S/ 26.00 
792;MED;DEQUAZOL ORAL 500MG X 20 TAB;31/05/2030;METRONIDAZOL; S/ 23.50 
25268;MED;DEQUAZOL ORAL 500MG X 60 TAB;28/02/2030;METRONIDAZOL; S/ 76.00 
27737;MED;DEQUAZOL-R NF X 8 OVULOS;31/05/2027;METRONIDAZOL + NISTATINA; S/ 59.00 
29937;INTF;DERMAGEN CREMA X 20 GR-CLOTR.+GENTA.+BETAM;31/12/2028;BETAMETAMETA+CLOTRIMAZ+GENTAMI; S/ 5.50 
28138;MAR;DERMAZOL PLUS CREMA TUBO X10 GR;31/03/2027;BETAMETA+GENTAMICINA+CLOTRIMAZ; S/ 5.50 
30301;LAP;DESAZONA 4MG X 100TAB - DEXAMETASONA;30/12/2028;DEXAMETASONA; S/ 9.00 
30575;LAP;DESLORATADINA 5MG X 100 TAB REC;31/08/2027;DESLORATADINA; S/ 11.00 
28456;VTP;DESLORATADINA 5MG X 100 TAB REC;30/06/2028;DESLORATADINA; S/ 12.50 
6027;FIN;DESTOLIT 5 LOCION X 100ML FCO;26/10/2028;PERMETRINA; S/ 55.00 
30649;GME;DETALLE + 1.5MG X 1 TAB LEVONORGESTREL;31/03/2028;LEVONORGESTREL; S/ 1.80 
31191;MAR;DEXABRON PLUS COMPUESTO X 100 TABLETAS;31/08/2027;PARA+CLOH FENILE+CLORF MALEAT; S/ 48.00 
6206;FIN;DEXAFAR 4MG/1ML AMP X 2;30/09/2028;DEXAMETASONA; S/ 12.50 
6785;ROXF;DEXAFLAM 0.5MG FCO X 100ML;30/04/2027;DEXAMETASONA; S/ 8.50 
6786;ROXF;DEXAFLAM NF 2.0MG FCO X 100ML;30/05/2028;DEXAMETASONA; S/ 12.00 
30780;LDL;DEXALOR PLUS CJA X 100 TAB;31/07/2027;BETAMET+DEXCLORFENIR MALEATO; S/ 90.00 
21352;LAP;DEXAMETASONA 0.5MG X100 TAB;30/06/2028;DEXAMETASONA; S/ 4.50 
22879;FIN;DEXAMETASONA 4.0MG X100 TAB;30/07/2028;DEXAMETASONA; S/ 13.00 
27651;VTP;DEXAMETASONA 4.0MG X100 TAB;30/06/2028;DEXAMETASONA; S/ 11.00 
31138;LAP;DEXAMETASONA 4MG X 100TAB;31/12/2028;DEXAMETASONA; S/ 9.00 
27137;LLA;DEXAMETASONA 4MG/2ML 100 AMP;31/10/2027;DEXAMETASONA; S/ 45.00 
33638;LIPH;DEXAMETASONA FOSF.4MG/2ML X100AMP.SOL.INY.IM.IV.IA;30/07/2028;DEXAMETASONA FOSFATO; S/ 29.00 
